province,x,y
Amnat Charoen,209,182
Ang Thong,-75,98
Ayutthaya,-60,78
Bangkok,-56,41
Bueng Kan,145,337
Buriram,89,106
Chachoengsao,-6,31
Chainat,-95,131
Chaiyaphum,19,196
Chanthaburi,40,-18
Chiang Mai,-184,378
Chiang Rai,-106,453
Chonburi,-18,7
Chumpon,-160,-182
Kalasin,136,235
Kamphaeng Phet,-130,211
Kanchanaburi,-171,89
Khon Kaen,73,216
Krabi,-158,-333
Lampang,-126,354
Lamphun,-166,327
Loei,5,283
Lopburi,-42,128
Mae Hong Son,-235,347
Maha Sarakham,107,190
Mukdahan,196,229
Nakhon Nayok,-22,72
Nakhon Pathom,-90,51
Nakhon Phanom,198,287
Nakhon Ratchasima,35,115
Nakhon Sawan,-79,167
Nakhon Si Thammarat,-112,-319
Nan,-43,382
Narathiwat,14,-460
Nong Bua Lamphu,52,269
Nong Khai,83,316
Nonthaburi,-72,50
Pathum Thani,-51,58
Pattani,-6,-421
Phang Nga,-201,-299
Phattalung,-92,-375
Phayao,-84,407
Phetchabun,-29,210
Phetchaburi,-123,-18
Phichit,-75,207
Phitsanulok,-64,254
Phrae,-90,337
Phuket,-206,-342
Prachinburi,6,60
Prachuap Khiri Khan,-114,-93
Ranong,-183,-209
Ratchaburi,-137,30
Rayong,-7,-20
Roi Et,147,181
Sa Kaeo,50,43
Sakhon Nakhon,146,286
Samut Prakan,-52,29
Samut Sakhon,-83,27
Samut Songkhram,-99,16
Saraburi,-34,97
Satun,-100,-416
Si Saket,187,114
Singburi,-76,118
Songkhla,-61,-416
Sukhothai,-117,271
Suphanburi,-99,95
Surat Thani,-160,-277
Surin,137,111
Tak,-168,244
Trang,-124,-371
Trat,66,-53
Ubon Ratchathani,239,128
Udon Thani,90,279
Uthai Thani,-139,147
Uttaradit,-68,304
Yala,-16,-460
Yasothon,181,187
